LOCATION,BOS,ADDR_NUM,ST_NAME,ST_TYPE,ADDRESS,EAS_ADDRESS,CNN,PARCEL,ZIP,LAT_EAS,LONG_EAS,COORDINATES,BIKE_PARKING,PLACEMENT,RACKS,SPACES,MO_INST,YR_INSTALLED,INSTALLED_BY,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION
east side of Davis St between California St and Market St,,,,,34 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
east side of Davis St between California St and Market St,,,,,32 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
east side of Davis St between California St and Market St,,,,,30 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
east side of Davis St between California St and Market St,,,,,26 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
east side of Davis St between California St and Market St,,,,,16 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
east side of Davis St between California St and Market St,,,,,10 DAVIS ST,,,,,,,"(37.797628, -122.397791)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,"MATERIAL, GRANITE",N/A,0. NO_FURTHER_ACTION
Office Building,,,,,50 FREMONT ST,,,,,,,"(37.790304, -122.397365)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Mehfil Indian Cuisine,,,,,600 FOLSOM ST,,,,,,,"(37.785535, -122.397125)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
State Farm Insurance,,,,,1536 20TH ST,,,,,,,"(37.760171, -122.397043)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Flo's Barber Shop,,,,,1532 20TH ST,,,,,,,"(37.760171, -122.397043)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Zephyr Real Estate office,,,,,1542 20TH ST,,,,,,,"(37.760221, -122.396831)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Good Life Grocery,,,,,1524 20TH ST,,,,,,,"(37.760221, -122.396831)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Bottom of the Hill bar,,,,,1233 17TH ST,,,,,,,"(37.764922, -122.396415)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Supperclub Restaurant,,,,,657 HARRISON ST,,,,,,,"(37.783067, -122.396302)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Darwin Cafe,,,,,212 RITCH ST,,,,,,,"(37.780530, -122.396207)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK / CLEARANCES,N/A,0. NO_FURTHER_ACTION
Darwin Cafe,,,,,212 RITCH ST,,,,,,,"(37.780530, -122.396207)",RACK,PARKING_LANE,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,PARKLET,N/A,0. NO_FURTHER_ACTION
Farley's,,,,,1315 18TH ST,,,,,,,"(37.762452, -122.395966)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,PARKLET,N/A,0. NO_FURTHER_ACTION
Horns,,,,,6275 03RD ST,,,,,,,"(37.72110797, -122.39585062)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
One Market Restaurant,,,,,1 MARKET ST,,,,,,,"(37.79387152, -122.39486524)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,CLEARANCES,N/A,0. NO_FURTHER_ACTION
Sugarcane,,,,,46 SOUTH PARK,,,,,,,"(37.782184, -122.393810)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
multiple,,,,,150 SPEAR ST,,,,,,,"(37.791753, -122.393614)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
McDonalds,,,,,5411 03RD ST,,,,,,,"(37.727920, -122.392618)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
AIM Mail Center #92 Business,,,,,221 KING ST,,,,,,,"(37.777133, -122.392176)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
SBC Pizza & Deli,,,,,737 03RD ST,,,,,,,"(37.778499, -122.391985)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Polo Grounds,,,,,747 03RD ST,,,,,,,"(37.778499, -122.391985)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
multiple,,,,,51 FEDERAL ST,,,,,,,"(37.783523, -122.391715)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Bagel Bakery,,,,,151 TOWNSEND ST,,,,,,,"(37.779252, -122.391369)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Muni Woods Division,,,,,1095 INDIANA ST,,,,,,,"(37.756907, -122.390525)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,EMPLOYEE BIKE PARKING,N/A,0. NO_FURTHER_ACTION
Cup of Blues,,,,,900 22ND ST,,,,,,,"(37.758042, -122.390413)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Paragon Restaurant,,,,,701 02ND ST,,,,,,,"(37.78063023, -122.38962498)",RACK,PARKING_LANE,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS PREFERS SIDEWALK RACKS,N/A,0. NO_FURTHER_ACTION
Bret Harte (PreK & SA) CDC,,,,,950 HOLLISTER AVE,,,,,,,"(37.718359, -122.389494)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Just for You Cafe,,,,,732 22ND ST,,,,,,,"(37.758136, -122.388873)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,BUSINESS CLOSED,N/A,0. NO_FURTHER_ACTION
Yield Wine Bar,,,,,2490 03RD ST,,,,,,,"(37.758155, -122.388561)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
El Nino Training Center,,,,,2920 03RD ST,,,,,,,"(37.75197164, -122.38796548)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS TO PROVIDE BIKE PARKING ON PARCEL,N/A,0. NO_FURTHER_ACTION
Olivier's Butchery,,,,,1074 ILLINOIS ST,,,,,,,"(37.759246, -122.387917)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,CURB CUT,N/A,0. NO_FURTHER_ACTION
Museum of Craft and Design,,,,,2569 03RD ST,,,,,,,"(37.756713, -122.387658)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,PARKLET PLANNED,N/A,0. NO_FURTHER_ACTION
Bayview Plaza,,,,,3801 03RD ST,,,,,,,"(37.741940, -122.387432)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE_AND_SFMTA_POLICY,NARROW SIDEWALK / RACKS ON PARCEL RECOMMENDED,N/A,0. NO_FURTHER_ACTION
Elmco & Associates,,,,,1195 EVANS AVE,,,,,,,"(37.73814111, -122.38075190)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Speakeasy Brewery,,,,,1195 EVANS AVE,,,,,,,"(37.73814111, -122.38075190)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE_AND_SFMTA_POLICY,NARROW SIDEWALK / RACKS ON PARCEL RECOMMENDED,N/A,0. NO_FURTHER_ACTION
Literacy Environmental Justice,,,,,800 INNES AVE,,,,,,,"(37.731248, -122.373905)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,BUSINESS CLOSED,N/A,0. NO_FURTHER_ACTION
IGC,,,,,702 EARL ST,,,,,,,"(37.73041062, -122.37183529)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NO SIDEWALK,N/A,0. NO_FURTHER_ACTION
Lora Dukler Couture,,,,,3112 CALIFORNIA ST,,,,,,,"(37.787454, -122.445610)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,BLUE ZONE,N/A,0. NO_FURTHER_ACTION
Weird Fish,,,,,2193 MISSION ST,,,,,,,"(37.761956, -122.419311)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,BUS ZONE,N/A,0. NO_FURTHER_ACTION
High Bridge Arms,,,,,3185 MISSION ST,,,,,,,"(37.745939, -122.419579)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,BUS ZONE / CLEARANCES,N/A,0. NO_FURTHER_ACTION
Hyatt,,,,,5 EMBARCADERO CENTER,,,,,,,"(37.794147, -122.396412)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,BUS ZONE / TAXI STAND,N/A,0. NO_FURTHER_ACTION
Red Vic Movie House,,,,,1727 HAIGHT ST,,,,,,,"(37.769417, -122.451035)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,BUSINESS CLOSED,N/A,0. NO_FURTHER_ACTION
Garfield Elementary School / CDC,,,,,402 FILBERT ST,,,,,,,"(37.801781, -122.406174)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Jennifer's Convertibles,,,,,1790 WASHINGTON ST,,,,,,,"(37.793157, -122.422648)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Midway Barber Shop,,,,,304 PLYMOUTH AVE,,,,,,,"(37.713247, -122.456009)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Literacy Environmental Justice,,,,,1329 EVANS AVE,,,,,,,"(37.739871, -122.383144)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Pete's BBQ,,,,,2399 MISSION ST,,,,,,,"(37.758684, -122.418975)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Patrick and Co.,,,,,615 MISSION ST,,,,,,,"(37.787762, -122.400005)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Clean X-Press,,,,,401 JUDAH ST,,,,,,,"(37.762121, -122.466183)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Leslies Beauty Salon,,,,,5178 MISSION ST,,,,,,,"(37.715913, -122.441632)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
San Miguel Restaurant,,,,,3263 MISSION ST,,,,,,,"(37.745560, -122.420199)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Anchor Oyster Bar,,,,,579 CASTRO ST,,,,,,,"(37.759613, -122.434817)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,CLEARANCES,N/A,0. NO_FURTHER_ACTION
Bella & Daisy's Dog Bakery & Boutique,,,,,1746 UNION ST,,,,,,,"(37.798097, -122.428044)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,CLEARANCES,N/A,0. NO_FURTHER_ACTION
Casanova Lounge,,,,,527 VALENCIA ST,,,,,,,"(37.764466, -122.421777)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
_undetermined,,,,,500 NOE ST,,,,,,,"(37.760985, -122.432844)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Geneva and Naples (pavement to parks),,,,,None,,,,,,,"(37.714214, -122.436189)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Kathy's Boutique,,,,,3478 MISSION ST,,,,,,,"(37.740996, -122.422927)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Andronico's,,,,,1220 IRVING ST,,,,,,,"(37.763897, -122.470841)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,EXISTING_MEETS_DEMAND,N/A,N/A,0. NO_FURTHER_ACTION
Boxcar Theatre,,,,,505 NATOMA ST,,,,,,,"(37.780050, -122.407741)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Pontiac Hostel Hotel,,,,,509 MINNA ST,,,,,,,"(37.780351, -122.408288)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Great Hair Cuts,,,,,1758 CHURCH ST,,,,,,,"(37.742750, -122.426622)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Center Hardware & Supply,,,,,999 MARIPOSA ST,,,,,,,"(37.763988, -122.393732)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Park Life,,,,,220 CLEMENT ST,,,,,,,"(37.783136, -122.461449)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Visitacion Valley MS,,,,,450 RAYMOND AVE,,,,,,,"(37.714736, -122.412488)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NO SIDEWALK,N/A,0. NO_FURTHER_ACTION
Kabuki Springs and Spa,,,,,1750 GEARY BLVD,,,,,,,"(37.784679, -122.432158)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,SUPPLY MEETS DEMAND,N/A,0. NO_FURTHER_ACTION
Extreme Pizza,,,,,1890 UNION ST,,,,,,,"(37.797751, -122.430351)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,TABLES AND CHAIRS,N/A,0. NO_FURTHER_ACTION
Katz Speech,,,,,1679 CHURCH ST,,,,,,,"(37.744071, -122.426577)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,BUSINESS_PREFERENCE,BUSINESS DOESN'T WANT RACKS,N/A,0. NO_FURTHER_ACTION
Eco Jewelers,,,,,3174 MISSION ST,,,,,,,"(37.746364, -122.419559)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,CLEARANCES,N/A,0. NO_FURTHER_ACTION
"John Muir and Skyline Blvd (Fort Funston, north entrance)",,,,,None,,,,,,,"(37.718951, -122.500339)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,SFMTA_POLICY,HIGH_THEFT_LOCATION,N/A,0. NO_FURTHER_ACTION
Public Barber Salon,,,,,1528 GRANT ST,,,,,,,"(37.801070, -122.407670)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Trouble Coffee,,,,,1730 YOSEMITE ST,,,,,,,"(37.728293, -122.394192)",RACK,SIDEWALK,0,0,,n/a,N/A,COMPLETE,NOT_INSTALLED,NOT_FEASIBLE,NARROW SIDEWALK,N/A,0. NO_FURTHER_ACTION
Balboa and Great Hwy (Ocean Beach),,,,,None,,,,,,,"(37.775081, -122.511289)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Hwy and JFK (Ocean Beach),,,,,None,,,,,,,"(37.770474, -122.510950)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Hwy and JFK (Ocean Beach),,,,,None,,,,,,,"(37.770474, -122.510950)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Highway and Lincoln (O'Shaughnessy seawall planting beds),,,,,None,,,,,,,"(37.764650, -122.510670)",RACK,SIDEWALK,2,4,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Ocean Beach,,,,,800 GREAT HWY,,,,,,,"(37.772707, -122.510420)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Hwy and Lincoln (Ocean Beach),,,,,None,,,,,,,"(37.764033, -122.510370)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Ocean View Dental,,,,,760 LA PLAYA,,,,,,,"(37.774536, -122.509795)",RACK,SIDEWALK,1,2,,2013,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Fit Club,,,,,728 LA PLAYA,,,,,,,"(37.774536, -122.509795)",RACK,SIDEWALK,1,2,,2013,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Judah and La Playa,,,,,None,,,,,,,"(37.760260, -122.509560)",RACK,SIDEWALK,3,6,,2011,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Judah and La Playa,,,,,1301 GREAT HWY,,,,,,,"(37.76136744, -122.50938083)",RACK,SIDEWALK,1,2,,2011,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Highway and Noriega (O'Shaughnessy seawall planting beds),,,,,None,,,,,,,"(37.752810, -122.509090)",RACK,SIDEWALK,2,4,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Java Beach Cafe,,,,,1396 LA PLAYA,,,,,,,"(37.760451, -122.508931)",RACK,SIDEWALK,1,2,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Judah and La Playa,,,,,None,,,,,,,"(37.760140, -122.508920)",RACK,SIDEWALK,1,2,,2011,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Sunset Co-op Nursery School,,,,,4245 LAWTON ST,,,,,,,"(37.756384, -122.508503)",RACK,SIDEWALK,4,8,,2012,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Beachside Cafe,,,,,4300 JUDAH ST,,,,,,,"(37.760569, -122.508258)",RACK,SIDEWALK,2,4,,2012,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Cajun Pacific Restaurant,,,,,4542 IRVING ST,,,,,,,"(37.76239130, -122.50692014)",RACK,SIDEWALK,1,2,,2012,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Hwy and Sloat (Ocean Beach),,,,,None,,,,,,,"(37.735410, -122.506820)",RACK,SIDEWALK,3,6,,2010,NPS,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Great Hwy and Sloat (Ocean Beach),,,,,None,,,,,,,"(37.735410, -122.506820)",RACK,SIDEWALK,1,2,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
3 Fish Studios,,,,,4541 IRVING ST,,,,,,,"(37.762008, -122.506750)",RACK,SIDEWALK,2,4,,2012,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
_undetermined,,,,,3620 WAWONA ST,,,,,,,"(37.736322, -122.505751)",RACK,SIDEWALK,1,2,,2005,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
The Pizza Place,,,,,3901 NORIEGA ST,,,,,,,"(37.752698, -122.505608)",RACK,SIDEWALK,1,2,,2011,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
The Pizza Place,,,,,3901 NORIEGA ST,,,,,,,"(37.752698, -122.505608)",RACK,SIDEWALK,2,4,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Thai Cottage,,,,,4041 JUDAH ST,,,,,,,"(37.760229, -122.505550)",RACK,SIDEWALK,1,2,,2011,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
General Store and Two Birds Fly,,,,,4035 JUDAH ST,,,,,,,"(37.760198, -122.505461)",RACK,SIDEWALK,1,2,,2003,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Trouble Coffee Company,,,,,4033 JUDAH ST,,,,,,,"(37.760201, -122.505375)",RACK,SIDEWALK,1,2,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Trouble Coffee Company,,,,,4033 JUDAH ST,,,,,,,"(37.760201, -122.505375)",RACK,SIDEWALK,2,4,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Riptide Bar,,,,,3639 TARAVAL ST,,,,,,,"(37.741572, -122.505326)",RACK,SIDEWALK,3,6,,2012,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Riptide Bar,,,,,3639 TARAVAL ST,,,,,,,"(37.741572, -122.505326)",RACK,SIDEWALK,1,2,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Celia's By the Beach,,,,,4019 JUDAH ST,,,,,,,"(37.760244, -122.505205)",RACK,SIDEWALK,1,2,,unknown,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Outerlands Cafe,,,,,4001 JUDAH ST,,,,,,,"(37.760252, -122.505019)",RACK,SIDEWALK,1,2,,2005,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
Outerlands Cafe,,,,,4001 JUDAH ST,,,,,,,"(37.760252, -122.505019)",RACK,SIDEWALK,2,4,,2010,SFMTA,COMPLETE,INSTALLED,EXISTING,N/A,N/A,0. NO_FURTHER_ACTION
